month,volume_mn,value_cr,days_in_month,seconds_in_month,total_transactions,lambda_avg_tps,rho_floor,rho_sens_low,rho_sens_high,rho_peak_baseline
2024-02-01,12102.67,1827869.35,29,2505600,12102670000.0,4830.248243933589,0.6996987411168945,0.5830822842640787,0.38872152284271916,0.5511518254819546
2024-03-01,13440.0,1978353.23,31,2678400,13440000000.0,5017.921146953405,0.7268846097002822,0.6057371747502353,0.40382478316682346,0.5725661002498771
2024-04-01,13303.99,1964464.52,30,2592000,13303990000.0,5132.712191358025,0.7435129785138894,0.6195941487615746,0.41306276584104973,0.5856642456199511
2024-05-01,14035.84,2044937.05,31,2678400,14035840000.0,5240.382317801673,0.7591098273969948,0.6325915228308291,0.4217276818872194,0.5979498640276217
2024-06-01,13885.14,2007081.2,30,2592000,13885140000.0,5356.9212962962965,0.775991397955226,0.6466594982960217,0.4311063321973478,0.6112474560960589
2024-07-01,14435.55,2064292.41,31,2678400,14435550000.0,5389.616935483871,0.780727613657657,0.6506063447147142,0.4337375631431428,0.6149781672962883
2024-08-01,14963.05,2060735.57,31,2678400,14963050000.0,5586.562873357228,0.8092567529148668,0.6743806274290557,0.4495870849527038,0.6374505346982087
2024-09-01,15041.75,2063994.71,30,2592000,15041750000.0,5803.144290123457,0.8406302428490473,0.7005252023742061,0.46701680158280406,0.6621633935799635
2024-10-01,16584.97,2349821.46,31,2678400,16584970000.000002,6192.118428912784,0.8969761492069116,0.747480124339093,0.49832008289272867,0.7065469937247921
2024-11-01,15482.02,2155187.4,30,2592000,15482020000.0,5973.001543209876,0.8652353770268623,0.7210294808557186,0.48068632057047905,0.6815448270761624
2024-12-01,16730.01,2324699.91,31,2678400,16730009999.999998,6246.270161290322,0.9048204456199269,0.7540170380166058,0.5026780253444039,0.7127259362233219
2025-01-01,16996.0,2348037.12,31,2678400,16996000000.0,6345.57945041816,0.919206162683482,0.7660051355695684,0.5106700903797122,0.7240575476076572
2025-02-01,16106.19,2196481.69,28,2419200,16106190000.0,6657.65128968254,0.9644121773734223,0.803676814477852,0.5357845429852346,0.7596662689830215
2025-03-01,18301.51,2477221.61,31,2678400,18301510000.0,6833.001045400239,0.9898129429520693,0.8248441191267245,0.5498960794178164,0.779674420341081
2025-04-01,17893.42,2394925.87,30,2592000,17893420000.0,6903.325617283951,1.0,0.8333333333333334,0.5555555555555556,0.7876987524690672
2025-05-01,18677.46,2514297.01,31,2678400,18677460000.0,6973.364695340501,1.01014570106344,0.8417880842195333,0.5611920561463556,0.7956905085396629
2025-06-01,18395.01,2403930.69,30,2592000,18395010000.0,7096.840277777777,1.0280320922439645,0.8566934102033037,0.5711289401355358,0.8097795965587358
2025-07-01,19467.95,2508498.09,31,2678400,19467950000.0,7268.499850657109,1.0528983063552537,0.8774152552960449,0.5849435035306966,0.8293666823928272
2025-08-01,20008.31,2485472.91,31,2678400,20008310000.0,7470.247162485066,1.0821229616899,0.9017691347415834,0.6011794231610555,0.8523869069412664
2025-09-01,19633.43,2489736.54,30,2592000,19633430000.0,7574.625771604939,1.0972430088825949,0.914369174068829,0.6095794493792194,0.8642969492522256
2025-10-01,20700.92,2727790.68,31,2678400,20700920000.0,7728.838112305854,1.1195818567438072,0.9329848806198393,0.6219899204132262,0.8818932318440987
2025-11-01,20466.98,2631632.63,30,2592000,20466980000.0,7896.211419753086,1.1438271722230853,0.9531893101859045,0.6354595401239364,0.9009912366003451
2025-12-01,21634.67,2796712.73,31,2678400,21634670000.0,8077.460424133811,1.170082489504792,0.9750687412539935,0.6500458275026623,0.9216725172688252
2026-01-01,21703.44,2833481.22,31,2678400,21703440000.0,8103.136200716845,1.1738018239251111,0.9781681866042593,0.6521121244028395,0.9246022323517257
2026-02-01,20394.18,2684229.29,28,2419200,20394180000.0,8430.13392857143,1.221169968785014,1.0176416406541784,0.6784277604361189,0.9619140609646452
2026-03-01,22641.11,2952542.05,31,2678400,22641110000.0,8453.22207287933,1.2245144646972588,1.020428720581049,0.6802858137206994,0.9645485162223584
2026-04-01,22346.8,2902988.05,30,2592000,22346800000.0,8621.45061728395,1.248883667851087,1.0407363898759059,0.6938242599172706,0.9837441071452941
2026-05-01,23201.93,2990424.21,31,2678400,23201930000.0,8662.608273596177,1.2548456720493506,1.0457047267077921,0.6971364844718615,0.9884403704144816
2026-06-01,22716.07,2892138.67,30,2592000,22716070000.0,8763.915895061727,1.2695208629764458,1.0579340524803715,0.7052893683202477,1.0
